,variant,count,cumcount
521,"('A', 'C', 'A', 'B', 'B', 'B', 'F', 'M', 'E')",1,330
544,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'M', 'B', 'B', 'B', 'B', 'E')",1,331
542,"('A', 'A', 'C', 'A', 'A', 'B', 'B', 'B', 'G', 'E')",1,332
543,"('A', 'C', 'A', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,333
528,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'K', 'B', 'B', 'M', 'B', 'B', 'B', 'E')",1,334
524,"('B', 'B', 'A', 'C', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,335
541,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'H', 'B', 'B', 'E', '?')",1,336
540,"('A', 'C', 'A', 'B', 'B', 'A', 'A', 'G', 'I', 'B', 'B', 'E', '?')",1,337
522,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'H', 'B', 'B', 'F', 'B', 'B', 'E', '?')",1,338
539,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'T', 'B', 'B', 'B', 'B', 'E')",1,339
537,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'P', 'B', 'B', 'B', 'O', 'I', 'B', 'B', 'E')",1,340
536,"('A', 'B', 'B', 'B', 'C', 'A', 'O', 'B', 'B', 'B', 'B', 'E')",1,341
527,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'R', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'E')",1,342
535,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'I', 'B', 'B', 'B', 'B', 'N', 'Y', 'N', 'B', 'B', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,343
534,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'I', 'B', 'B', 'E', '?')",1,344
525,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'B', 'Q', 'B', 'B', 'E', '?')",1,345
532,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B')",1,346
526,"('C', 'A', 'B', 'B', 'B', 'A', 'A')",1,347
531,"('L', 'C', 'L', 'B', 'B', 'B', 'L', 'L', 'G', 'B', 'B', 'E')",1,348
529,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'B', 'B', 'E', '?')",1,349
533,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'Q', 'T', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,350
556,"('B', 'B', 'A', 'C', 'A', 'A', 'G', 'B', 'B', 'O', 'B', 'B', 'F', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,351
545,"('A', 'C', 'A', 'B', 'B', 'G', 'B', 'B', 'E')",1,352
546,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'R', 'B', 'B', 'O', 'B', 'B', 'E', '?')",1,353
572,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'O', 'F', 'E', '?')",1,354
573,"('L', 'C', 'L', 'L', 'B', 'B', 'B', 'L', 'M', 'C', 'B', 'B', 'B', 'B', 'E', '?')",1,355
574,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,356
575,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'I', 'B', 'B', 'E', '?')",1,357
576,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'P', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'E')",1,358
577,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'K', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'B', 'E')",1,359
578,"('L', 'B', 'B', 'B', 'L', 'C', 'L', 'L')",1,360
579,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'V', 'A', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,361
580,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'F', 'B', 'B', 'E', '?')",1,362
581,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'O', 'B', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,363
582,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'G', 'F', 'B', 'B', 'B', 'B', 'E', '?')",1,364
583,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,365
584,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'Q', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'P', 'E', '?')",1,366
585,"('A', 'C', 'A', 'B', 'B', 'A', 'A', 'P', 'S', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,367
586,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,368
587,"('A', 'C', 'A', 'B', 'B', 'J', 'B', 'B', 'B', 'B', 'B', 'E')",1,369
588,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'M', 'B', 'B', 'B', 'E')",1,370
589,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'B', 'B', 'B', 'O', 'B', 'B', 'E', '?')",1,371
590,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'K', 'E')",1,372
591,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'G', 'B', 'B', 'B', 'U', 'M', 'B', 'B', 'B', 'B', 'E')",1,373
592,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'K', 'B', 'B', 'B', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'E')",1,374
571,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'S', 'E', '?')",1,375
570,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'O', 'E')",1,376
569,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'T', 'B', 'B', 'B', 'B', 'E')",1,377
557,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'O', 'B', 'B', 'I', 'B', 'B', 'E')",1,378
547,"('L', 'C', 'L', 'L', 'L', 'B', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'B', 'E')",1,379
548,"('A', 'C', 'A', 'B', 'B', 'B', 'H', 'B', 'B', 'E')",1,380
549,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'M', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,381
550,"('A', 'C', 'B', 'B', 'A', 'V', 'E')",1,382
551,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,383
552,"('A', 'A', 'C', 'B', 'B', 'A', 'A', 'B', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B')",1,384
553,"('A', 'C', 'B', 'B', 'A', 'T', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,385
554,"('A', 'A', 'C', 'A', 'B', 'B', 'B', 'A', 'H', 'E', '?')",1,386
555,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'F', 'E', '?')",1,387
558,"('L', 'C', 'L', 'B', 'B')",1,388
568,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'R', 'B', 'B', 'B', 'B', 'E')",1,389
559,"('B', 'A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'T', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'T', 'B', 'B', 'B', 'B', 'E')",1,390
560,"('A', 'C', 'A', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'O', 'B', 'B', 'E')",1,391
561,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'P', 'B', 'B', 'B', 'F', 'B', 'B', 'B', 'E', '?')",1,392
562,"('L', 'C', 'L', 'L', 'B', 'B', 'B', 'L', 'M', 'B', 'B', 'B', 'E', '?')",1,393
563,"('A', 'C', 'A', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'E')",1,394
564,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'I', 'B', 'F', 'B', 'E', '?')",1,395
565,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'I', 'B', 'B', 'E')",1,396
566,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'B')",1,397
567,"('A', 'A', 'C', 'A', 'B', 'B', 'B', 'A', 'P', 'B', 'B', 'B', 'I', 'B', 'N', 'E', '?')",1,398
520,"('A', 'C', 'A', 'B', 'B', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,399
0,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'A', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,400
519,"('L', 'C', 'L', 'B', 'B', 'B', 'L')",1,401
458,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'O', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,402
449,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'O', 'B', 'B', 'B', 'E')",1,403
450,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'I', 'B', 'B', 'V', 'V', 'B', 'I', 'E', '?')",1,404
451,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B')",1,405
452,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'M', 'B', 'B', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'S', 'E')",1,406
453,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'N', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,407
454,"('A', 'C', 'A', 'B', 'B', 'B', 'H', 'B', 'B', 'B', 'B', 'B', 'E')",1,408
455,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'F', 'B', 'B', 'E', '?')",1,409
456,"('A', 'B', 'B', 'C', 'A', 'A', 'A', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,410
457,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'I', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,411
460,"('A', 'C', 'A', 'B', 'B', 'B', 'G', 'F', 'E')",1,412
518,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'B', 'B', 'H', 'B', 'B', 'E', '?')",1,413
461,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'S', 'D', 'B', 'B', 'E')",1,414
462,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'B', 'E')",1,415
463,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'H', 'B', 'B', 'B', 'B', 'E')",1,416
464,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'F', 'B', 'B', 'B', 'B', 'E')",1,417
465,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'I', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,418
466,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'H', 'B', 'B', 'E')",1,419
467,"('L', 'C', 'L', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'E', '?')",1,420
468,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'H', 'B', 'E', '?')",1,421
469,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'B', 'I', 'B', 'B', 'B', 'B', 'E', '?')",1,422
448,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'Q', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,423
447,"('A', 'A', 'C', 'A', 'A', 'B', 'B', 'B', 'O', 'B', 'E')",1,424
446,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,425
445,"('L', 'C', 'L', 'L', 'L', 'B', 'B', 'B', 'U', 'M', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,426
425,"('A', 'C', 'A', 'B', 'B', 'B', 'O', 'A', 'A', 'B', 'B', 'E')",1,427
426,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'G', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,428
427,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'B', 'B', 'B', 'I', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,429
429,"('A', 'A', 'C', 'A', 'A', 'B', 'B', 'B', 'G', 'F', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,430
430,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'R', 'I', 'A', 'B', 'B', 'B', 'B', 'B', 'E')",1,431
431,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'W', 'B', 'B', 'B', 'O', 'O', 'E')",1,432
432,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,433
433,"('A', 'C', 'A', 'B', 'B', 'A', 'A', 'G', 'Q', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,434
434,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'B', 'J', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'W', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,435
435,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'H', 'E')",1,436
436,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'G', 'O', 'B', 'B', 'E', '?')",1,437
437,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'F', 'B', 'B', 'S', 'B', 'B', 'E')",1,438
438,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'Q', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,439
439,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'G', 'M', 'B', 'B', 'B', 'E', '?')",1,440
440,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'U', 'B', 'B', 'B', 'B', 'M', 'B', 'B', 'B', 'B', 'K', 'M', 'E')",1,441
441,"('A', 'C', 'A', 'A', 'B', 'B', 'S', 'B', 'B', 'A', 'B', 'B', 'E')",1,442
442,"('A', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'G', 'F', 'B', 'B', 'E')",1,443
443,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'F', 'B', 'B', 'B', 'B', 'B', 'E', '?')",1,444
444,"('A', 'C', 'A', 'A', 'A', 'B', 'B', 'B', 'N', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'E')",1,445
470,"('A', 'A', 'C', 'A', 'A', 'B', 'B', 'B', 'P', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'E', '?')",1,446
471,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'G', 'B', 'B', 'F', 'B', 'B', 'E')",1,447
472,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'Q', 'B', 'B', 'E')",1,448
498,"('L', 'B', 'B', 'B', 'C', 'L')",1,449
500,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'U', 'B', 'B', 'B', 'B', 'E')",1,450
501,"('B', 'L', 'C', 'L', 'B', 'B')",1,451
502,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'Q', 'B', 'B', 'B', 'B', 'E')",1,452
503,"('L', 'C', 'L', 'M', 'E')",1,453
594,"('A', 'B', 'B', 'B', 'C', 'A', 'A', 'A')",1,454
504,"('A', 'C', 'B', 'B', 'F', 'A', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,455
505,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'M', 'E')",1,456
506,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'I', 'B', 'B', 'F', 'E')",1,457
507,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'A', 'G', 'F', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E')",1,458
508,"('A', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'U', 'I', 'B', 'B', 'E', '?')",1,459
509,"('A', 'C', 'B', 'B', 'B', 'A', 'A', 'G', 'F', 'B', 'B', 'B', 'B', 'E', '?')",1,460
