,variant,count,cumcount
244,"('A', 'C', 'A', 'B', 'A', 'G', 'I', 'B', 'E', '?')",4,432
67,"('A', 'C', 'A', 'B', 'A', 'G', 'O', 'B', 'E')",4,436
108,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'F', 'B', 'E')",4,440
331,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'B', 'E', '?')",4,444
193,"('A', 'C', 'A', 'B', 'A', 'F', 'E')",4,448
121,"('A', 'C', 'A', 'B', 'A', 'I', 'E')",4,452
75,"('A', 'C', 'A', 'B', 'Q', 'E')",4,456
105,"('L', 'C', 'L')",4,460
123,"('A', 'C', 'A', 'B', 'A', 'G', 'O', 'B', 'E', '?')",4,464
16,"('A', 'B', 'C', 'A')",4,468
49,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'B', 'E')",4,472
84,"('A', 'C', 'A', 'B', 'A', 'N', 'B', 'E', '?')",4,476
94,"('A', 'C', 'A', 'B', 'V', 'E')",4,480
51,"('A', 'C', 'A', 'B', 'M', 'B', 'E', '?')",4,484
131,"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'E', '?')",4,488
303,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'E')",4,492
210,"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'E')",4,496
214,"('L', 'C', 'L', 'B')",4,500
29,"('A', 'C', 'A', 'B', 'Q', 'B', 'E')",3,503
119,"('A', 'B', 'C', 'A', 'O', 'B', 'E')",3,506
71,"('A', 'C', 'B', 'A', 'M', 'B', 'E')",3,509
211,"('A', 'C', 'B', 'A', 'O', 'B', 'E', '?')",3,512
2,"('A', 'C', 'A', 'B', 'A', 'I', 'E', '?')",3,515
63,"('A', 'C', 'B', 'A', 'I', 'B', 'E', '?')",3,518
205,"('A', 'C', 'A', 'B', 'I', 'B', 'E', '?')",3,521
222,"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'E')",3,524
249,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'B', 'E', '?')",3,527
73,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'O', 'B', 'E')",3,530
272,"('A', 'C', 'A', 'B', 'D', 'B', 'E')",3,533
325,"('L', 'B', 'C', 'L')",3,536
20,"('A', 'C', 'A', 'B', 'I', 'B', 'E')",3,539
122,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'I', 'B', 'E')",3,542
233,"('A', 'C', 'A', 'B', 'T', 'B', 'E')",3,545
37,"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'E')",3,548
236,"('A', 'C', 'A', 'B', 'M', 'B', 'E')",3,551
96,"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'M', 'B', 'E')",3,554
169,"('A', 'C', 'A', 'B', 'G', 'F', 'B', 'E')",2,556
200,"('L', 'C', 'L', 'B', 'M', 'B', 'E')",2,558
461,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'F', 'B', 'E')",2,560
261,"('A', 'C', 'A', 'B', 'A', 'K', 'M', 'B', 'E')",2,562
174,"('A', 'C', 'A', 'B', 'G', 'B', 'D', 'B', 'E')",2,564
413,"('A', 'C', 'A', 'B', 'G', 'B', 'T', 'B', 'E')",2,566
166,"('A', 'C', 'A', 'B', 'A', 'U', 'M', 'B', 'E', '?')",2,568
357,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'H', 'B', 'E', '?')",2,570
187,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'E', '?')",2,572
109,"('A', 'C', 'A', 'B', 'J', 'R', 'E')",2,574
91,"('A', 'C', 'B', 'A', 'O', 'B', 'E')",2,576
113,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'B', 'E')",2,578
161,"('A', 'C', 'A', 'B', 'Q', 'B', 'E', '?')",2,580
252,"('A', 'C', 'A', 'B', 'H', 'E')",2,582
371,"('L', 'C', 'L', 'B', 'M', 'E')",2,584
197,"('L', 'C', 'L', 'B', 'L', 'M', 'E')",2,586
229,"('A', 'C', 'A', 'B', 'K', 'B', 'M', 'B', 'E')",2,588
140,"('L', 'C', 'L', 'B', 'L', 'M', 'B', 'E', '?')",2,590
247,"('A', 'C', 'A', 'B', 'A', 'F', 'E', '?')",2,592
354,"('A', 'C', 'B', 'A', 'G', 'F', 'B', 'E', '?')",2,594
135,"('A', 'C', 'A', 'B', 'R', 'E')",2,596
207,"('A', 'C', 'A', 'B', 'S', 'B', 'E')",2,598
154,"('A', 'C', 'A', 'B', 'A', 'O', 'F', 'B', 'E', '?')",2,600
316,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'D', 'B', 'E')",2,602
11,"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'F', 'B', 'E')",2,604
15,"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'I', 'B', 'E')",2,606
280,"('A', 'C', 'A', 'B', 'A', 'U', 'B', 'E', '?')",2,608
297,"('A', 'C', 'A', 'B', 'A', 'G', 'H', 'E')",2,610
23,"('A', 'C', 'A', 'B', 'R', 'B', 'E')",2,612
56,"('A', 'C', 'A', 'B', 'F', 'E')",2,614
284,"('B', 'A', 'C', 'A', 'B', 'A', 'O', 'B', 'E')",2,616
24,"('A', 'C', 'A', 'B', 'V', 'E', '?')",2,618
25,"('A', 'C', 'A', 'B', 'A', 'G', 'B')",2,620
287,"('A', 'C', 'B', 'A', 'P', 'B')",2,622
299,"('A', 'C', 'B', 'A', 'G', 'B', 'F', 'B', 'E')",2,624
298,"('A', 'C', 'A', 'B', 'G', 'O', 'B', 'E', '?')",2,626
44,"('A', 'B', 'C', 'A', 'R', 'B', 'E')",2,628
31,"('A', 'C', 'B', 'A', 'D', 'B', 'E')",2,630
317,"('A', 'C', 'A', 'B', 'A', 'Q', 'O', 'B', 'E')",2,632
32,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'I', 'B', 'E')",2,634
65,"('A', 'C', 'A', 'B', 'A', 'G', 'H', 'B', 'E')",2,636
301,"('A', 'C', 'A', 'B', 'O', 'A', 'B', 'E')",2,638
337,"('A', 'B', 'C', 'A', 'B')",2,640
85,"('A', 'C', 'A', 'B', 'A', 'O', 'A', 'B', 'E')",2,642
274,"('A', 'C', 'A', 'B', 'A', 'Q', 'F', 'B', 'E', '?')",2,644
334,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'E')",2,646
10,"('A', 'C', 'B')",2,648
335,"('A', 'C', 'A', 'B', 'W', 'B', 'E')",2,650
8,"('A', 'C', 'A', 'B', 'A', 'F')",2,652
374,"('A', 'C', 'A', 'B', 'G', 'B', 'E')",1,653
378,"('A', 'C', 'B', 'A', 'T', 'B', 'E')",1,654
377,"('A', 'C', 'B', 'A', 'B', 'W', 'B')",1,655
376,"('A', 'C', 'B', 'A', 'V', 'E')",1,656
375,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'O', 'B', 'E', '?')",1,657
386,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'I', 'B', 'N', 'E', '?')",1,658
373,"('A', 'C', 'A', 'B', 'O', 'B', 'E', '?')",1,659
379,"('A', 'C', 'A', 'B', 'A', 'H', 'E', '?')",1,660
311,"('A', 'C', 'A', 'B', 'A', 'G', 'M', 'B', 'E', '?')",1,661
372,"('A', 'C', 'A', 'B', 'G', 'E')",1,662
310,"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'S', 'B', 'E')",1,663
370,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'I', 'B', 'E')",1,664
369,"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'N', 'Y', 'N', 'B', 'F', 'B', 'E')",1,665
368,"('A', 'C', 'A', 'B', 'A', 'F', 'I', 'B', 'E', '?')",1,666
312,"('A', 'C', 'A', 'B', 'U', 'B', 'M', 'B', 'K', 'M', 'E')",1,667
380,"('B', 'A', 'C', 'A', 'G', 'B', 'O', 'B', 'F', 'P', 'B', 'F', 'B', 'E')",1,668
393,"('A', 'C', 'A', 'B', 'P', 'B', 'O', 'B', 'E')",1,669
385,"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'I', 'B', 'E')",1,670
381,"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'I', 'B', 'E')",1,671
392,"('A', 'C', 'B', 'A', 'W', 'B', 'E')",1,672
391,"('L', 'C', 'L', 'B', 'L', 'M', 'C', 'B', 'E', '?')",1,673
390,"('A', 'C', 'B', 'A', 'O', 'F', 'E', '?')",1,674
389,"('A', 'C', 'A', 'B', 'S', 'E', '?')",1,675
382,"('B', 'A', 'C', 'A', 'B', 'A', 'T', 'P', 'B', 'T', 'B', 'E')",1,676
314,"('A', 'C', 'A', 'B', 'N', 'B', 'D', 'B', 'E')",1,677
383,"('A', 'C', 'A', 'B', 'A', 'G', 'P', 'B', 'F', 'B', 'E', '?')",1,678
388,"('A', 'C', 'A', 'B', 'A', 'O', 'E')",1,679
384,"('A', 'C', 'A', 'B', 'I', 'B', 'F', 'B', 'E', '?')",1,680
313,"('A', 'C', 'A', 'B', 'S', 'B', 'A', 'B', 'E')",1,681
387,"('A', 'C', 'B', 'A', 'R', 'B', 'E')",1,682
367,"('A', 'C', 'A', 'B', 'A', 'Q', 'T', 'B', 'E', '?')",1,683
340,"('L', 'C', 'L', 'B', 'P', 'B', 'M', 'B', 'E')",1,684
366,"('A', 'C', 'A', 'B', 'A', 'O', 'B')",1,685
365,"('L', 'C', 'L', 'B', 'L', 'G', 'B', 'E')",1,686
351,"('A', 'C', 'B', 'A', 'I', 'B', 'F', 'E')",1,687
328,"('A', 'B', 'C', 'A', 'W', 'B', 'F', 'B', 'E')",1,688
350,"('A', 'C', 'A', 'B', 'A', 'M', 'E')",1,689
349,"('A', 'C', 'B', 'F', 'A', 'D', 'B', 'E')",1,690
348,"('L', 'C', 'L', 'M', 'E')",1,691
329,"('L', 'C', 'L', 'B', 'M', 'B', 'E', '?')",1,692
330,"('A', 'C', 'A', 'B', 'P', 'B', 'O', 'B', 'E', '?')",1,693
332,"('A', 'B', 'C', 'A', 'G', 'H', 'B', 'E', '?')",1,694
333,"('A', 'C', 'B', 'A', 'Q', 'A')",1,695
347,"('B', 'L', 'C', 'L', 'B')",1,696
346,"('A', 'C', 'A', 'B', 'A', 'U', 'B', 'E')",1,697
345,"('A', 'C', 'B', 'A', 'I', 'Q', 'B', 'E', '?')",1,698
344,"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'Q', 'B', 'W', 'B', 'Q', 'B', 'E', '?')",1,699
336,"('A', 'C', 'A', 'B', 'R', 'B')",1,700
343,"('A', 'B', 'A', 'C', 'A')",1,701
395,"('A', 'C', 'B', 'A', 'V', 'A', 'B', 'E', '?')",1,702
342,"('A', 'C', 'A', 'B', 'M', 'K', 'P', 'B', 'O', 'B', 'E', '?')",1,703
338,"('L', 'C', 'L', 'B', 'L', 'G', 'M', 'B', 'E')",1,704
339,"('A', 'C', 'A', 'B', 'A', 'N', 'E')",1,705
352,"('A', 'C', 'B', 'A', 'G', 'F', 'B', 'E')",1,706
327,"('A', 'C', 'A', 'B', 'A', 'S', 'D', 'B', 'E')",1,707
326,"('A', 'C', 'A', 'B', 'G', 'F', 'E')",1,708
361,"('A', 'C', 'A', 'B', 'A', 'B', 'Q', 'B', 'E', '?')",1,709
364,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'E', '?')",1,710
315,"('L', 'C', 'L', 'B', 'U', 'M', 'B', 'E')",1,711
363,"('A', 'B', 'C', 'A', 'R', 'B', 'O', 'B', 'E')",1,712
341,"('A', 'C', 'B', 'O', 'B', 'E', '?')",1,713
318,"('A', 'C', 'A', 'B', 'A', 'I', 'W', 'B', 'I', 'B', 'V', 'B', 'I', 'E', '?')",1,714
362,"('C', 'A', 'B', 'A')",1,715
319,"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'P', 'B', 'S', 'E')",1,716
320,"('A', 'C', 'B', 'A', 'N', 'B', 'E')",1,717
360,"('B', 'A', 'C', 'A', 'F', 'B', 'E')",1,718
353,"('A', 'C', 'A', 'B', 'A', 'U', 'I', 'B', 'E', '?')",1,719
359,"('A', 'C', 'A', 'B', 'H', 'B', 'F', 'B', 'E', '?')",1,720
358,"('A', 'C', 'A', 'B', 'F', 'M', 'E')",1,721
321,"('A', 'C', 'A', 'B', 'P', 'B', 'F', 'B', 'E', '?')",1,722
356,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'Q', 'B', 'E', '?')",1,723
322,"('A', 'B', 'C', 'A', 'W', 'B', 'E')",1,724
355,"('A', 'C', 'A', 'B', 'P', 'B', 'H', 'B', 'E')",1,725
323,"('A', 'C', 'A', 'B', 'I', 'B', 'D', 'B', 'E')",1,726
324,"('A', 'C', 'B', 'A', 'O', 'D', 'B', 'E', '?')",1,727
394,"('L', 'B', 'L', 'C', 'L')",1,728
0,"('A', 'B', 'C', 'A', 'D', 'B', 'E')",1,729
396,"('A', 'C', 'B', 'A', 'O', 'B', 'O', 'B', 'E', '?')",1,730
470,"('A', 'C', 'A', 'B', 'A', 'N', 'B', 'E')",1,731
482,"('A', 'C', 'A', 'B', 'G', 'N', 'B', 'E')",1,732
481,"('A', 'C', 'A', 'B', 'A', 'V', 'W', 'B', 'O', 'B', 'E')",1,733
480,"('A', 'C', 'A', 'B', 'H', 'B', 'E', '?')",1,734
479,"('B', 'A', 'C', 'B', 'A')",1,735
478,"('L', 'C', 'L', 'B', 'L', 'U', 'B', 'E')",1,736
477,"('A', 'C', 'A', 'B', 'A', 'N', 'A', 'B', 'E', '?')",1,737
476,"('B', 'A', 'C', 'A', 'B', 'A', 'G', 'E')",1,738
475,"('A', 'C', 'A', 'B', 'T', 'E')",1,739
474,"('A', 'B', 'C', 'A', 'J', 'O', 'B', 'E', '?')",1,740
473,"('A', 'C', 'B', 'A', 'O', 'W', 'B', 'P', 'B', 'Q', 'B', 'O', 'B', 'E', '?')",1,741
472,"('A', 'B', 'C', 'A', 'F', 'B', 'E', '?')",1,742
471,"('A', 'C', 'A', 'B', 'G', 'W', 'B', 'I', 'E', '?')",1,743
469,"('A', 'C', 'A', 'B', 'O', 'E')",1,744
397,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'Q', 'B', 'P', 'E', '?')",1,745
468,"('A', 'C', 'A', 'B', 'A', 'I', 'F', 'B', 'J', 'B', 'J', 'F', 'B', 'E', '?')",1,746
467,"('A', 'C', 'A', 'B', 'N', 'P', 'B', 'A', 'B', 'S', 'B', 'E', '?')",1,747
466,"('A', 'C', 'B', 'G', 'O', 'B', 'E')",1,748
465,"('A', 'C', 'B', 'A', 'B', 'M', 'B', 'E', '?')",1,749
464,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'P', 'F', 'B', 'E', '?')",1,750
463,"('A', 'C', 'B', 'A', 'Q', 'B', 'M', 'E', '?')",1,751
462,"('B', 'A', 'C', 'A', 'D', 'B', 'E')",1,752
460,"('A', 'C', 'A', 'B', 'J', 'B', 'R', 'B', 'E', '?')",1,753
459,"('B', 'A', 'C', 'A', 'O', 'B', 'E')",1,754
458,"('A', 'C', 'A', 'B', 'A', 'F', 'P', 'B', 'F', 'E')",1,755
457,"('B', 'A', 'C', 'A', 'F', 'E')",1,756
456,"('A', 'C', 'A', 'B', 'R', 'B', 'E', '?')",1,757
483,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'F', 'E', '?')",1,758
484,"('A', 'C', 'B', 'A', 'H', 'B', 'E')",1,759
485,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'W', 'B', 'S', 'B', 'W', 'B', 'E', '?')",1,760
486,"('A', 'B', 'A', 'C', 'A', 'O', 'B', 'E')",1,761
511,"('A', 'C', 'A', 'B', 'A', 'B', 'A', 'V', 'E', '?')",1,762
510,"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E', '?', 'B')",1,763
509,"('A', 'C', 'B', 'O', 'B', 'E')",1,764
508,"('A', 'C', 'A', 'B', 'A', 'B', 'P', 'B', 'O', 'B', 'W', 'B', 'E')",1,765
507,"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'F', 'B', 'E')",1,766
506,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'E')",1,767
505,"('A', 'C', 'A', 'B', 'S', 'B', 'O', 'B', 'E')",1,768
504,"('A', 'C', 'A', 'B', 'J', 'B', 'R', 'B', 'E')",1,769
503,"('A', 'C', 'A', 'W', 'B', 'H', 'B', 'E', '?')",1,770
502,"('A', 'C', 'A', 'B', 'A', 'F', 'A', 'E')",1,771
501,"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'E', '?')",1,772
500,"('A', 'C', 'A', 'B', 'S', 'O', 'B', 'E')",1,773
499,"('A', 'C', 'A', 'B', 'P', 'B', 'F', 'E', '?')",1,774
498,"('A', 'B', 'C', 'A', 'B', 'A')",1,775
497,"('A', 'C', 'A', 'B', 'A', 'O', 'A', 'B', 'E', '?')",1,776
496,"('A', 'C', 'A', 'B', 'A', 'H', 'I', 'B', 'E')",1,777
495,"('A', 'C', 'B', 'A', 'S', 'F', 'B', 'E', '?')",1,778
494,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'Q', 'B', 'P', 'E')",1,779
493,"('A', 'C', 'A', 'B', 'G', 'W', 'B', 'N', 'I', 'E')",1,780
492,"('A', 'C', 'B', 'A', 'F', 'O', 'B', 'E', '?')",1,781
491,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'R', 'T', 'B', 'E')",1,782
490,"('A', 'C', 'A', 'B', 'A', 'G', 'T', 'B', 'E')",1,783
489,"('B', 'A', 'B', 'C', 'A')",1,784
488,"('A', 'C', 'A', 'B', 'J', 'B', 'E', '?')",1,785
487,"('A', 'C', 'A', 'B', 'J', 'B', 'J', 'B', 'R', 'B', 'E', '?')",1,786
455,"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'W', 'B', 'F', 'B', 'O', 'B', 'E', '?')",1,787
454,"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'F', 'B', 'F', 'B', 'E', '?')",1,788
453,"('A', 'C', 'B', 'A', 'P', 'B', 'H', 'E', '?')",1,789
425,"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'B', 'O', 'E')",1,790
423,"('A', 'B', 'C', 'A', 'I', 'B', 'E')",1,791
422,"('A', 'C', 'A', 'B', 'A', 'U', 'A', 'B', 'E')",1,792
421,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'B', 'N', 'B', 'E')",1,793
420,"('B', 'A', 'C', 'A', 'B', 'A', 'H', 'B', 'T', 'B', 'E')",1,794
419,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'Q', 'B', 'E', '?')",1,795
418,"('A', 'C', 'A', 'B', 'A', 'G', 'P', 'B', 'I', 'B', 'E', '?')",1,796
417,"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'F', 'E', '?')",1,797
416,"('A', 'C', 'B', 'A', 'G', 'R', 'B', 'E')",1,798
415,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'E', '?')",1,799
414,"('A', 'C', 'A', 'B', 'Q', 'V', 'A', 'B', 'S', 'W', 'B', 'S', 'E')",1,800
412,"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'A', 'B', 'E')",1,801
411,"('A', 'C', 'A', 'B', 'N', 'B', 'E', '?')",1,802
410,"('A', 'C', 'A', 'B', 'O', 'D', 'B', 'E')",1,803
409,"('A', 'C', 'A', 'B', 'N', 'F', 'B', 'E')",1,804
408,"('A', 'C', 'A', 'B', 'S', 'B', 'E', 'B')",1,805
407,"('A', 'C', 'B', 'F', 'A', 'O', 'B', 'E')",1,806
406,"('A', 'C', 'A', 'B', 'M', 'E')",1,807
405,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'D', 'A', 'B', 'E')",1,808
404,"('A', 'C', 'A', 'B', 'P', 'B', 'I', 'E', '?')",1,809
403,"('A', 'C', 'A', 'B', 'N', 'E', '?')",1,810
402,"('A', 'C', 'A', 'B', 'G', 'B', 'H', 'E', '?')",1,811
401,"('A', 'C', 'A', 'B', 'G', 'B', 'U', 'M', 'B', 'E')",1,812
400,"('A', 'C', 'A', 'B', 'A', 'K', 'E')",1,813
399,"('A', 'C', 'A', 'B', 'J', 'B', 'E')",1,814
398,"('A', 'C', 'A', 'B', 'A', 'P', 'S', 'B', 'E')",1,815
424,"('A', 'C', 'A', 'B', 'G', 'B', 'I', 'B', 'E', '?')",1,816
308,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'J', 'B', 'W', 'B', 'D', 'B', 'P', 'B', 'E')",1,817
452,"('A', 'C', 'A', 'B', 'P', 'B', 'F', 'B', 'E')",1,818
426,"('A', 'C', 'B', 'A', 'R', 'B', 'F', 'E')",1,819
451,"('A', 'C', 'A', 'B', 'A', 'G', 'U', 'E', '?')",1,820
450,"('A', 'C', 'A', 'B', 'N', 'I', 'B', 'E')",1,821
449,"('A', 'C', 'A', 'B', 'F', 'R', 'E', '?')",1,822
448,"('A', 'C', 'B', 'A', 'O', 'N', 'B', 'E')",1,823
447,"('C', 'A', 'B', 'A', 'O', 'B', 'F', 'E', '?')",1,824
446,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'I', 'E')",1,825
445,"('A', 'C', 'A', 'B', 'F', 'I', 'B', 'E')",1,826
444,"('C', 'A', 'B', 'G', 'D', 'B', 'E', '?')",1,827
443,"('A', 'C', 'B', 'A', 'G', 'Q', 'B', 'E')",1,828
442,"('A', 'C', 'A', 'B', 'A', 'H', 'P', 'B', 'H', 'B', 'E', '?')",1,829
441,"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'H', 'B', 'E')",1,830
440,"('A', 'C', 'B', 'A', 'O', 'B', 'O', 'B', 'F', 'B', 'E')",1,831
439,"('A', 'C', 'A', 'B', 'A', 'R', 'F', 'B', 'E')",1,832
438,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'R', 'B', 'E')",1,833
437,"('A', 'C', 'A', 'B', 'A', 'R', 'O', 'B', 'E')",1,834
436,"('A', 'C', 'A', 'B', 'A', 'O', 'F', 'B', 'E')",1,835
435,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'E')",1,836
434,"('A', 'B', 'C', 'A', 'G', 'F', 'A', 'E')",1,837
433,"('L', 'C', 'L', 'B', 'P', 'B', 'M', 'B', 'E', '?')",1,838
432,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'E')",1,839
431,"('A', 'B', 'C', 'A', 'G')",1,840
430,"('B', 'A', 'C', 'A', 'B', 'A', 'F', 'B', 'E', '?')",1,841
429,"('A', 'C', 'A', 'B', 'G', 'I', 'B', 'E', '?')",1,842
428,"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'E')",1,843
427,"('A', 'C', 'A', 'B', 'R')",1,844
309,"('A', 'C', 'B', 'A', 'G', 'O', 'B', 'E', '?')",1,845
256,"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'P', 'B', 'W', 'B', 'T', 'B', 'E', '?')",1,846
307,"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'B', 'E')",1,847
126,"('A', 'C', 'A', 'B', 'A', 'V', 'O', 'B', 'E')",1,848
139,"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'A')",1,849
138,"('A', 'C', 'B', 'A', 'F', 'E')",1,850
137,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'A', 'B', 'E', '?')",1,851
134,"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'M', 'A', 'B', 'E', '?')",1,852
133,"('A', 'C', 'A', 'B', 'A', 'V', 'O', 'B', 'W', 'O', 'B', 'Q', 'B', 'E')",1,853
132,"('A', 'C', 'A', 'B', 'A', 'B', 'A')",1,854
130,"('A', 'C', 'A', 'B', 'A', 'H', 'E')",1,855
129,"('L', 'C', 'L', 'B', 'L', 'G', 'O', 'F', 'B', 'P', 'B', 'F', 'B', 'E', '?')",1,856
128,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'Q', 'B', 'E', '?')",1,857
127,"('A', 'C', 'B', 'A', 'F', 'I', 'B', 'N', 'B', 'E')",1,858
125,"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'F', 'E')",1,859
142,"('A', 'C', 'B', 'A', 'T', 'B', 'E', '?')",1,860
124,"('L', 'B', 'C', 'L', 'F', 'E')",1,861
120,"('A', 'C', 'A', 'B', 'A', 'Q', 'F', 'B', 'E')",1,862
118,"('A', 'C', 'A', 'B', 'U', 'E')",1,863
117,"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'N', 'B', 'N', 'Q', 'B', 'E', '?')",1,864
116,"('A', 'C', 'B', 'P', 'A', 'B', 'H', 'B', 'E')",1,865
115,"('A', 'C', 'A', 'B', 'I', 'B', 'J', 'B', 'E')",1,866
112,"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'O', 'B', 'E')",1,867
111,"('B', 'A', 'C', 'B', 'A', 'I', 'B', 'E')",1,868
110,"('A', 'C', 'B', 'A', 'G', 'B', 'F', 'E')",1,869
107,"('A', 'C', 'B', 'A', 'B', 'A', 'I', 'B', 'E')",1,870
141,"('A', 'C', 'A', 'B', 'M', 'B', 'V', 'M', 'E')",1,871
143,"('A', 'C', 'A', 'B', 'T', 'B', 'H', 'E')",1,872
306,"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'O', 'E')",1,873
157,"('A', 'C', 'A', 'B', 'G', 'R', 'E', '?')",1,874
