variant,count,cumcount
"('A', 'C', 'A', 'B', 'A', 'U', 'B', 'E', '?')",2,608
"('A', 'C', 'A', 'B', 'A', 'G', 'H', 'E')",2,610
"('A', 'C', 'A', 'B', 'A', 'G', 'B')",2,620
"('A', 'C', 'A', 'B', 'A', 'Q', 'O', 'B', 'E')",2,632
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'I', 'B', 'E')",2,634
"('A', 'C', 'A', 'B', 'A', 'G', 'H', 'B', 'E')",2,636
"('A', 'C', 'A', 'B', 'A', 'O', 'A', 'B', 'E')",2,642
"('A', 'C', 'A', 'B', 'A', 'Q', 'F', 'B', 'E', '?')",2,644
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'E')",2,646
"('A', 'C', 'A', 'B', 'A', 'F')",2,652
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'O', 'B', 'E', '?')",1,657
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'I', 'B', 'N', 'E', '?')",1,658
"('A', 'C', 'A', 'B', 'A', 'H', 'E', '?')",1,660
"('A', 'C', 'A', 'B', 'A', 'G', 'M', 'B', 'E', '?')",1,661
"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'S', 'B', 'E')",1,663
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'I', 'B', 'E')",1,664
"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'N', 'Y', 'N', 'B', 'F', 'B', 'E')",1,665
"('A', 'C', 'A', 'B', 'A', 'F', 'I', 'B', 'E', '?')",1,666
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'I', 'B', 'E')",1,670
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'I', 'B', 'E')",1,671
"('A', 'C', 'A', 'B', 'A', 'G', 'P', 'B', 'F', 'B', 'E', '?')",1,678
"('A', 'C', 'A', 'B', 'A', 'O', 'E')",1,679
"('A', 'C', 'A', 'B', 'A', 'Q', 'T', 'B', 'E', '?')",1,683
"('A', 'C', 'A', 'B', 'A', 'O', 'B')",1,685
"('A', 'C', 'A', 'B', 'A', 'M', 'E')",1,689
"('A', 'C', 'A', 'B', 'A', 'U', 'B', 'E')",1,697
"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'Q', 'B', 'W', 'B', 'Q', 'B', 'E', '?')",1,699
"('A', 'C', 'A', 'B', 'A', 'N', 'E')",1,705
"('A', 'C', 'A', 'B', 'A', 'S', 'D', 'B', 'E')",1,707
"('A', 'C', 'A', 'B', 'A', 'B', 'Q', 'B', 'E', '?')",1,709
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'E', '?')",1,710
"('A', 'C', 'A', 'B', 'A', 'I', 'W', 'B', 'I', 'B', 'V', 'B', 'I', 'E', '?')",1,714
"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'P', 'B', 'S', 'E')",1,716
"('A', 'C', 'A', 'B', 'A', 'U', 'I', 'B', 'E', '?')",1,719
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'Q', 'B', 'E', '?')",1,723
"('A', 'C', 'A', 'B', 'A', 'N', 'B', 'E')",1,731
"('A', 'C', 'A', 'B', 'A', 'V', 'W', 'B', 'O', 'B', 'E')",1,733
"('A', 'C', 'A', 'B', 'A', 'N', 'A', 'B', 'E', '?')",1,737
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'Q', 'B', 'P', 'E', '?')",1,745
"('A', 'C', 'A', 'B', 'A', 'I', 'F', 'B', 'J', 'B', 'J', 'F', 'B', 'E', '?')",1,746
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'P', 'F', 'B', 'E', '?')",1,750
"('A', 'C', 'A', 'B', 'A', 'F', 'P', 'B', 'F', 'E')",1,755
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'F', 'E', '?')",1,758
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'W', 'B', 'S', 'B', 'W', 'B', 'E', '?')",1,760
"('A', 'C', 'A', 'B', 'A', 'B', 'A', 'V', 'E', '?')",1,762
"('A', 'C', 'A', 'B', 'A', 'D', 'B', 'E', '?', 'B')",1,763
"('A', 'C', 'A', 'B', 'A', 'B', 'P', 'B', 'O', 'B', 'W', 'B', 'E')",1,765
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'F', 'B', 'E')",1,766
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'E')",1,767
"('A', 'C', 'A', 'B', 'A', 'F', 'A', 'E')",1,771
"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'E', '?')",1,772
"('A', 'C', 'A', 'B', 'A', 'O', 'A', 'B', 'E', '?')",1,776
"('A', 'C', 'A', 'B', 'A', 'H', 'I', 'B', 'E')",1,777
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'Q', 'B', 'P', 'E')",1,779
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'R', 'T', 'B', 'E')",1,782
"('A', 'C', 'A', 'B', 'A', 'G', 'T', 'B', 'E')",1,783
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'W', 'B', 'F', 'B', 'O', 'B', 'E', '?')",1,787
"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'F', 'B', 'F', 'B', 'E', '?')",1,788
"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'B', 'O', 'E')",1,790
"('A', 'C', 'A', 'B', 'A', 'U', 'A', 'B', 'E')",1,792
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'B', 'N', 'B', 'E')",1,793
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'Q', 'B', 'E', '?')",1,795
"('A', 'C', 'A', 'B', 'A', 'G', 'P', 'B', 'I', 'B', 'E', '?')",1,796
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'F', 'E', '?')",1,797
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'O', 'E', '?')",1,799
"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'A', 'B', 'E')",1,801
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'D', 'A', 'B', 'E')",1,808
"('A', 'C', 'A', 'B', 'A', 'K', 'E')",1,813
"('A', 'C', 'A', 'B', 'A', 'P', 'S', 'B', 'E')",1,815
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'J', 'B', 'W', 'B', 'D', 'B', 'P', 'B', 'E')",1,817
"('A', 'C', 'A', 'B', 'A', 'G', 'U', 'E', '?')",1,820
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'I', 'E')",1,825
"('A', 'C', 'A', 'B', 'A', 'H', 'P', 'B', 'H', 'B', 'E', '?')",1,829
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'H', 'B', 'E')",1,830
"('A', 'C', 'A', 'B', 'A', 'R', 'F', 'B', 'E')",1,832
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'R', 'B', 'E')",1,833
"('A', 'C', 'A', 'B', 'A', 'R', 'O', 'B', 'E')",1,834
"('A', 'C', 'A', 'B', 'A', 'O', 'F', 'B', 'E')",1,835
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'E')",1,836
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'E')",1,839
"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'E')",1,843
"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'P', 'B', 'W', 'B', 'T', 'B', 'E', '?')",1,846
"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'B', 'E')",1,847
"('A', 'C', 'A', 'B', 'A', 'V', 'O', 'B', 'E')",1,848
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'A')",1,849
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'A', 'B', 'E', '?')",1,851
"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'M', 'A', 'B', 'E', '?')",1,852
"('A', 'C', 'A', 'B', 'A', 'V', 'O', 'B', 'W', 'O', 'B', 'Q', 'B', 'E')",1,853
"('A', 'C', 'A', 'B', 'A', 'B', 'A')",1,854
"('A', 'C', 'A', 'B', 'A', 'H', 'E')",1,855
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'Q', 'B', 'E', '?')",1,857
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'F', 'E')",1,859
"('A', 'C', 'A', 'B', 'A', 'Q', 'F', 'B', 'E')",1,862
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'N', 'B', 'N', 'Q', 'B', 'E', '?')",1,864
"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'O', 'B', 'E')",1,867
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'O', 'E')",1,873
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'O', 'B', 'T', 'B', 'W', 'B', 'T', 'B', 'E', '?')",1,875
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'D', 'E')",1,876
"('A', 'C', 'A', 'B', 'A', 'V', 'E')",1,882
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'T', 'B', 'E', '?')",1,883
"('A', 'C', 'A', 'B', 'A', 'I', 'A', 'B', 'E')",1,884
"('A', 'C', 'A', 'B', 'A', 'O', 'E', '?')",1,885
"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'O', 'B', 'E', '?')",1,889
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'N', 'B', 'I', 'E')",1,891
"('A', 'C', 'A', 'B', 'A', 'O', 'A')",1,894
"('A', 'C', 'A', 'B', 'A', 'M', 'B', 'K', 'B', 'E')",1,895
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'O', 'B', 'E', '?')",1,897
"('A', 'C', 'A', 'B', 'A', 'G', 'V', 'B', 'E')",1,900
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'S', 'B', 'E', '?')",1,901
"('A', 'C', 'A', 'B', 'A', 'N', 'A', 'B', 'I', 'E', '?')",1,902
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'N', 'B', 'E', '?')",1,903
"('A', 'C', 'A', 'B', 'A', 'B', 'R', 'O', 'B', 'E')",1,905
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'T', 'B', 'H', 'B', 'E')",1,906
"('A', 'C', 'A', 'B', 'A', 'V', 'B', 'T', 'B', 'E', '?')",1,910
"('A', 'C', 'A', 'B', 'A', 'G', 'M', 'B', 'E')",1,913
"('A', 'C', 'A', 'B', 'A', 'B', 'W', 'B', 'E')",1,915
"('A', 'C', 'A', 'B', 'A', 'F', 'B')",1,917
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'P', 'B', 'F', 'E', '?')",1,920
"('A', 'C', 'A', 'B', 'A', 'R', 'B', 'E', '?', 'B')",1,921
"('A', 'C', 'A', 'B', 'A', 'S', 'P', 'B', 'F', 'B', 'E', '?')",1,922
"('A', 'C', 'A', 'B', 'A', 'B', 'W', 'B', 'J', 'B', 'R', 'B', 'E')",1,931
"('A', 'C', 'A', 'B', 'A', 'G', 'F', 'B', 'J', 'B', 'F', 'B', 'R', 'B', 'E')",1,932
"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'O', 'B', 'E')",1,933
"('A', 'C', 'A', 'B', 'A', 'X', 'O', 'E')",1,939
"('A', 'C', 'A', 'B', 'A', 'G', 'N', 'E')",1,942
"('A', 'C', 'A', 'B', 'A', 'T', 'V', 'E')",1,943
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'I', 'B', 'N', 'E')",1,945
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'R', 'B', 'E')",1,946
"('A', 'C', 'A', 'B', 'A', 'J', 'B', 'P', 'B', 'O', 'E')",1,948
"('A', 'C', 'A', 'B', 'A', 'Q', 'P', 'B', 'F', 'B', 'E')",1,949
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'W', 'B', 'E')",1,952
"('A', 'C', 'A', 'B', 'A', 'S', 'B', 'N', 'B', 'E')",1,953
"('A', 'C', 'A', 'B', 'A', 'I', 'M', 'B', 'E', '?')",1,954
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'D', 'B', 'E')",1,955
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'M', 'U', 'B', 'E')",1,957
"('A', 'C', 'A', 'B', 'A', 'D')",1,960
"('A', 'C', 'A', 'B', 'A', 'G', 'D', 'B', 'N', 'E')",1,962
"('A', 'C', 'A', 'B', 'A', 'G', 'M', 'E', '?')",1,963
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'E')",1,964
"('A', 'C', 'A', 'B', 'A', 'H', 'B', 'H', 'A', 'B', 'E', '?')",1,971
"('A', 'C', 'A', 'B', 'A', 'H', 'F', 'B', 'E')",1,973
"('A', 'C', 'A', 'B', 'A', 'N', 'I', 'P', 'B', 'E', '?')",1,974
"('A', 'C', 'A', 'B', 'A', 'W', 'B', 'F', 'B', 'E', '?')",1,977
"('A', 'C', 'A', 'B', 'A', 'R', 'I', 'A', 'B', 'E')",1,978
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'J', 'F', 'E')",1,981
"('A', 'C', 'A', 'B', 'A', 'G', 'B', 'F', 'B', 'E', '?')",1,982
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'W', 'B', 'F', 'B', 'E', '?')",1,985
"('A', 'C', 'A', 'B', 'A', 'F', 'B', 'W', 'B', 'F', 'E')",1,986
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'F', 'B', 'E', '?')",1,987
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'R', 'B', 'E')",1,989
"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'A', 'E', '?')",1,993
"('A', 'C', 'A', 'B', 'A', 'U', 'B', 'M', 'B', 'E', '?')",1,995
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'S', 'B', 'E')",1,996
"('A', 'C', 'A', 'B', 'A', 'O', 'B', 'E', 'B', '?')",1,997
"('A', 'C', 'A', 'B', 'A', 'Q', 'B', 'O', 'B', 'P', 'R', 'B', 'R', 'E')",1,998
"('A', 'C', 'A', 'B', 'A', 'S', 'I', 'B', 'E')",1,1002
"('A', 'C', 'A', 'B', 'A', 'I', 'A', 'B', 'E', '?')",1,1006
"('A', 'C', 'A', 'B', 'A', 'S', 'E')",1,1012
"('A', 'C', 'A', 'B', 'A', 'J', 'B', 'O', 'B', 'E')",1,1015
"('A', 'C', 'A', 'B', 'A', 'Q', 'I', 'B', 'E')",1,1016
"('A', 'C', 'A', 'B', 'A', 'I', 'B', 'E', '?', 'B')",1,1017
"('A', 'C', 'A', 'B', 'A', 'T', 'B', 'H', 'B', 'E')",1,1019
"('A', 'C', 'A', 'B', 'A', 'P', 'B', 'I', 'F', 'B', 'E')",1,1020
"('A', 'C', 'A', 'B', 'A', 'G', 'N', 'B', 'E', '?')",1,1028
"('A', 'C', 'A', 'B', 'A', 'G', 'E')",1,1029
"('A', 'C', 'A', 'B', 'A', 'I')",1,1032
"('A', 'C', 'A', 'B', 'A', 'N', 'I', 'B', 'E', '?')",1,1035
"('A', 'C', 'A', 'B', 'A', 'G', 'D', 'B', 'E', '?')",1,1039
"('A', 'C', 'A', 'B', 'A', 'K', 'B', 'M', 'B', 'E', '?')",1,1042
"('A', 'C', 'A', 'B', 'A', 'G', 'Q', 'B', 'E', '?')",1,1043
"('A', 'C', 'A', 'B', 'A', 'D', 'B')",1,1044
"('A', 'C', 'A', 'B', 'A', 'N', 'I', 'E', '?')",1,1046
"('A', 'C', 'A', 'B', 'A', 'H', 'B')",1,1047
"('A', 'C', 'A', 'B', 'A', 'H', 'I', 'N', 'B', 'E')",1,1048
"('A', 'C', 'A', 'B', 'A', 'I', 'A', 'B', 'F', 'B', 'E', '?')",1,1049
